seed,nodes,topology,loss_rate,flood_repeats,protocol,phy,diameter,edges,proposals,committed,aborted,timed_out,avg_latency,listen,flood,sleep,nacks,piggybacks,ce_timeouts,end_slot
3,13,random,0.1,1,paxos_pipeline,ci,3,28,100,100,0,0,23.99,2382,1377,1766,1,12,0,421
3,13,random,0.1,1,2pc_pipeline,ci,3,28,100,97,3,0,51.21,2618,1518,1857,5,36,0,440
3,13,random,0.1,1,tom_pipeline,ci,3,28,100,100,0,0,3.99,2235,1299,1653,1,1,0,399
3,13,random,0.1,0,paxos_ce,ce,3,28,100,100,0,0,9.94,7713,5209,0,0,0,2,994
3,13,random,0.1,0,2pc_ce,ce,3,28,100,100,0,0,17.42,13705,8941,0,0,0,142,1742
3,13,random,0.1,0,tom_ce,ce,3,28,100,100,0,0,4.06,3501,1777,0,0,0,0,406
3,13,random,0.2,1,paxos_pipeline,ci,3,28,100,100,0,0,25.77,2845,1505,2137,4,47,0,447
3,13,random,0.2,1,2pc_pipeline,ci,3,28,100,81,19,0,53.67,2767,1498,1975,28,142,0,459
3,13,random,0.2,1,tom_pipeline,ci,3,28,100,100,0,0,4.26,2415,1289,1834,10,10,0,426
3,13,random,0.2,0,paxos_ce,ce,3,28,100,100,0,0,10.58,8456,5298,0,0,0,48,1058
3,13,random,0.2,0,2pc_ce,ce,3,28,100,100,0,0,18.03,14427,9012,0,0,0,207,1803
3,13,random,0.2,0,tom_ce,ce,3,28,100,100,0,0,4.62,4089,1917,0,0,0,52,462
3,27,random,0,1,paxos_pipeline,ci,5,59,100,100,0,0,61.76,6739,3051,4628,0,0,0,530
3,27,random,0,1,2pc_pipeline,ci,5,59,100,100,0,0,128.00,7587,3429,5238,0,0,0,598
3,27,random,0,1,tom_pipeline,ci,5,59,100,100,0,0,4.74,5971,2700,4127,0,0,0,474
3,27,random,0,0,paxos_ce,ce,5,59,100,100,0,0,13.98,22514,15232,0,0,0,2,1398
3,27,random,0,0,2pc_ce,ce,5,59,100,100,0,0,23.73,38305,25766,0,0,0,249,2373
3,27,random,0,0,tom_ce,ce,5,59,100,100,0,0,4.74,8817,3981,0,0,0,0,474
3,27,random,0.05,1,paxos_pipeline,ci,5,59,100,100,0,0,63.64,7055,3051,4744,0,0,0,546
3,27,random,0.05,1,2pc_pipeline,ci,5,59,100,95,5,0,131.37,8143,3562,5656,4,52,0,609
3,27,random,0.05,1,tom_pipeline,ci,5,59,100,100,0,0,4.90,6277,2700,4253,0,0,0,490
3,27,random,0.05,0,paxos_ce,ce,5,59,100,100,0,0,14.20,23061,15279,0,0,0,0,1420
3,27,random,0.05,0,2pc_ce,ce,5,59,100,100,0,0,23.97,38966,25753,0,0,0,263,2397
3,27,random,0.05,0,tom_ce,ce,5,59,100,100,0,0,4.87,9086,4063,0,0,0,0,487
3,27,random,0.1,1,paxos_pipeline,ci,5,59,100,100,0,0,64.99,7176,3049,4949,2,52,0,558
3,27,random,0.1,1,2pc_pipeline,ci,5,59,100,98,2,0,135.42,8106,3426,5613,5,78,0,630
3,27,random,0.1,1,tom_pipeline,ci,5,59,100,100,0,0,4.99,6371,2698,4404,2,2,0,499
3,27,random,0.1,0,paxos_ce,ce,5,59,100,100,0,0,14.16,23100,15132,0,0,0,8,1416
3,27,random,0.1,0,2pc_ce,ce,5,59,100,100,0,0,25.11,41388,26409,0,0,0,499,2511
